latitude,longitude,salary_high
59.3508,18.0973,52363.63636363636
43.1791,-77.9406,52363.63636363636
39.7859,-75.9801,56818.181818181816
42.5378,-88.0149,56818.181818181816
12.9700,77.5600,25586.3539445629
39.8936,-83.4375,113636.36363636363
42.3363,-77.3180,56818.181818181816
46.9167,7.4670,99056.6037735849
47.3800,8.5500,113207.54716981131
42.2400,-71.9120,45454.545454545456
55.9483,-3.2191,59090.90909090909
37.1464,-83.7635,85227.27272727272
36.1324,-5.3781,45454.545454545456
43.7000,-79.4200,71895.4248366013
40.8698,-97.5943,62500.0
51.0830,-114.0800,52287.5816993464
38.6194,-90.3476,56818.181818181816
34.7559,-87.7007,61363.63636363636
42.2308,-72.7386,56818.181818181816
41.5658,-71.6307,34090.90909090909
45.5000,-73.5833,65359.477124183
47.1790,8.4870,75471.69811320755
45.6367,-122.5970,84967.32026143791
52.9703,-1.1700,51136.36363636364
-36.7096,142.1900,45454.545454545456
51.4300,5.5000,40909.09090909091
42.5298,-83.7847,51136.36363636364
40.0911,-74.8975,96590.90909090909
33.5429,-86.5636,51136.36363636364
44.0400,-64.7200,45454.545454545456
42.0400,-76.8774,39772.72727272727
41.6979,-71.9998,31818.18181818182
50.8333,-0.7833,56818.181818181816
41.9914,-70.8633,28409.090909090908
54.5968,-5.9254,51136.36363636364
-20.7163,143.1333,56818.181818181816
47.5000,19.0833,2717.908297774033
50.0600,19.9600,64061.135371179036
50.2604,19.0200,47161.572052401745
41.2443,-85.8478,62882.096069868996
51.1104,17.0300,58951.96506550218
50.8333,4.3333,83842.79475982532
32.5359,-82.9279,83842.79475982532
52.4058,16.8999,41921.39737991266
51.9504,15.5000,30131.004366812227
54.3600,18.6400,52401.74672489083
50.0705,22.0000,49781.65938864629
50.3304,18.6700,31441.048034934498
51.7750,19.4514,44541.4847161572
51.2504,22.5727,39301.31004366812
53.0358,18.6048,39301.31004366812
47.6211,-122.3244,49781.65938864629
54.5204,18.5300,39301.31004366812
53.1504,23.1700,47161.572052401745
50.0833,14.4660,52401.74672489083
53.1204,18.0100,49781.65938864629
53.4204,14.5300,43231.44104803493
50.6850,17.9313,23580.786026200873
34.1139,-118.4068,36681.22270742358
37.4000,-122.0796,49781.65938864629
46.2504,20.1500,2174.3266382192264
47.5305,21.6300,1630.74497866442
46.0804,18.2200,1413.3123148424972
53.8000,20.4800,18340.61135371179
46.9000,19.7000,1087.1633191096132
50.8904,20.6600,36681.22270742358
39.7915,-74.9375,471.61572052401743
